,City,ID,State,height,weight
602,Lake Butler,1205, FL,6.04,270.0
603,Mobile,1207, AL,5.11,190.0
605,Tallahassee,1211, FL,6.06,315.0
607,Truckee,1215, CA,5.09,218.0
608,Quebec City,1217, QC,6.03,240.0
609,Bradenton,1219, FL,6.01,230.0
610,Thomasville,1221, GE,6.01,270.0
611,Calgary,1223, AB,6.0,215.0
612,Georgetown,1225, GY,5.11,185.0
613,Orlando,1227, FL,6.02,200.0
614,Marshall,1229, TX,6.0,210.0
615,Vancouver,1231, BC,6.05,275.0
616,Burlington,1233, ON,6.03,194.0
617,St. Hippolyte,1235, QC,6.03,253.0
618,Lethbridge,1237, AB,6.03,244.0
619,Riverview,1239, NB,6.0,210.0
620,Vancouver,1241, BC,6.05,325.0
621,Niagara Falls,1243, ON,5.1,190.0
622,Edmonton,1245, AB,6.06,285.0
623,Taber,1247, AB,6.07,320.0
624,Regina,1249, SK,6.04,295.0
625,Longueuil,1251, QC,6.04,295.0
626,Gatineau,1253, QC,6.04,206.0
627,New Westminster,1255, BC,6.0,219.0
628,Montreal,1257, QC,6.0,217.0
629,Laval,1259, QC,5.09,185.0
630,Scarbrough,1261, ON,5.1,205.0
631,Oklahoma City,1263, OK,5.09,158.0
632,Waterloo,1265, ON,5.1,190.0
633,Windsor,1267, ON,6.06,315.0
634,Toronto,1269, ON,6.04,300.0
635,Toronto,1271, ON,6.03,198.0
636,Calgary,1273, AB,5.11,190.0
637,Montreal,1275, QC,6.04,300.0
638,Lethbridge,1277, AB,6.0,225.0
639,Windsor,1279, ON,5.1,185.0
641,Knoxville,1283, TN,5.09,188.0
642,Norfolk,1285, VA,5.11,205.0
643,East Cleveland,1287, OH,6.04,258.0
644,Los Angeles,1289, CA,6.02,204.0
645,Plainfield,1291, NJ,5.07,205.0
646,Laconia,1293, NH,6.01,230.0
647,St. Paul,1295, MN,6.01,205.0
648,New Orleans,1297, LA,6.01,205.0
649,Atlanta,1299, GE,5.1,185.0
650,Freeport,1301, TX,5.1,160.0
651,Miami,1303, FL,6.02,230.0
652,Hamilton,1305, ON,6.01,225.0
653,Waterdown,1307, ON,6.0,218.0
654,West Palm Beach,1309, FL,6.02,200.0
655,Galveston,1311, TX,6.06,332.0
656,Bradenton,1313, FL,5.11,185.0
657,Fayetteville,1315, NC,6.03,210.0
659,Washington,1319, DC,5.11,192.0
660,Hollywood,1321, FL,6.04,265.0
661,Kansas City,1323, MO,6.02,260.0
662,Miami,1325, FL,6.0,180.0
663,Dallas,1327, TX,6.01,240.0
664,Riverside,1329, CA,6.0,214.0
665,Woodbury,1331, MN,5.11,215.0
666,Pasadena,1333, CA,6.0,236.0
667,Spokane,1335, WA,6.01,200.0
668,Niagara Falls,1337, ON,5.1,225.0
669,Regina,1339, SK,5.11,220.0
670,Montréal,1341, QC,6.03,248.0
672,Magnolia,1345, AR,6.04,270.0
673,Yorkton,1347, SK,5.1,254.0
674,Helena,1349, MT,6.02,205.0
675,Tehran,1351, IR,5.09,177.0
676,Tuskegee,1353, AL,5.11,188.0
678,Houston,1357, TX,5.09,180.0
679,Surrey,1359, BC,6.04,300.0
680,Waterloo,1361, ON,5.09,195.0
681,San Clemente,1363, CA,6.02,214.0
682,New Maryland,1365, NB,6.03,230.0
683,LaGrange,1367, GA,5.1,190.0
684,Las Vegas,1369, NV,6.04,220.0
685,Gainsville,1371, GE,5.08,190.0
686,Wharton,1373, TX,6.0,180.0
687,Lebanon,1375, OH,6.06,318.0
689,Honolulu,1379, HI,6.01,245.0
690,Independance,1381, KS,6.02,248.0
691,Guelph,1383, ON,6.04,305.0
692,Markham,1385, ON,5.09,220.0
693,Kansas City,1387, MS,6.02,220.0
694,North Vancouver,1389, BC,6.05,300.0
695,Whitby,1391, ON,6.02,238.0
696,Trenton,1393, NJ,5.11,206.0
697,Columbia,1395, SC,5.11,188.0
699,Laval,1399, QC,6.02,200.0
700,Tennville,1401, GA,6.01,185.0
701,Laval,1403, QC,6.0,215.0
702,Belton,1405, SC,6.01,233.0
703,Bishopville,1407, SC,6.0,220.0
704,Houston,1409, TX,5.11,196.0
705,New Orleans,1411, LA,5.09,182.0
706,Port Arthur,1413, TX,6.0,206.0
707,Opelika,1415, AL,5.08,205.0
708,Aloha,1417, OR,5.11,205.0
709,Toronto,1419, ON,5.1,175.0
710,Atlanta,1421, GA,5.11,169.0
711,Tarpon Springs,1423, FL,5.1,188.0
712,Delray Beach,1425, FL,5.09,170.0
713,Detroit,1427, MI,6.0,182.0
714,Haywood,1429, CA,5.09,180.0
715,Jonesboro,1431, LA,6.02,193.0
716,Huntington Beach,1433, CA,5.09,165.0
717,Starke,1435, FL,6.01,176.0
719,Boynton Beach,1439, FL,6.02,235.0
720,Berbice,1441, GY,6.02,230.0
721,Augusta,1443, GA,6.05,320.0
722,Brooklyn,1445, NY,6.01,210.0
723,Houston,1447, TX,5.09,192.0
724,Salt Lake City,1449, UT,6.03,225.0
725,Dallas,1451, TX,5.11,205.0
726,Zachary,1453, LA,5.1,205.0
727,New Orleans,1455, LA,6.02,215.0
728,Atlanta,1457, GA,6.03,215.0
729,Denver,1459, CO,6.02,219.0
730,Little Rock,1461, AR,6.01,200.0
731,New Orleans,1463, LA,6.0,190.0
732,Los Angeles,1465, CA,6.0,190.0
733,Newark,1467, NJ,6.0,210.0
734,Orange,1469, TX,6.0,197.0
735,McComb,1471, MS,6.01,195.0
736,Birmingham,1473, AL,6.0,180.0
737,San Antonio,1475, TX,6.05,255.0
738,San Antonio,1477, TX,6.04,265.0
739,St. Petersburg,1479, FL,5.11,182.0
740,London,1481, ON,6.02,196.0
741,Winnipeg,1483, MB,6.03,222.0
742,Lennox,1485, SD,5.11,180.0
743,Pittsburgh,1487, PA,6.0,205.0
744,Los Angeles,1489, CA,6.03,215.0
745,West Palm Beach,1491, FL,6.0,195.0
746,La Grange,1493, TX,6.0,242.0
747,Montreal,1495, QC,6.04,275.0
748,Jasper,1497, TX,5.11,190.0
749,Pascagoula,1499, MS,5.11,192.0
750,Edmonton,1501, AB,6.0,210.0
751,Sault Ste. Marie,1503, MI,6.02,284.0
752,Newport News,1505, VA,6.01,267.0
754,Frankfurt,1509, DE,6.06,313.0
755,Meriden,1511, CT,5.07,180.0
756,Louisville,1513, KY,6.0,210.0
